,id,frtstGrupp,flanGrupp,frtstCo,frmhsFclu,hvstGrupp,grwtLt,fcluHg,lefLt,hvstCo,frmWeek,lefCunt,lefBt,stemThck,outtrn,ec,ph,cunt,otmsuplyqy
73,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,2.8488876710000004,5.841991157000001,26.0,88.08333333
74,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,3.128449479,5.881010001,32.5,96.23458254
75,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,3.068518511,5.890740766,23.0,72.10869565
76,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,2.771182247,6.120504928,24.0,55.98834499
77,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7780.0,2.1394957519999998,6.035504167999999,12.5,127.98450859999998
78,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7780.0,2.136057655,6.092307656,11.5,141.8532051
79,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7780.0,2.06282048,5.998076887000001,10.5,196.1435185
80,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7780.0,2.08373012,6.042857132000001,13.0,138.8205128
81,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7780.0,2.121818155,6.101363587000001,8.0,141.41666669999998
82,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7780.0,2.107499963,6.06249994,15.0,136.63888889999998
83,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7780.0,2.098627405,6.037647023,12.5,140.1853633
84,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7660.0,2.116666635,5.987499972,11.0,125.85833329999998
85,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7660.0,2.12235291,6.0398038839999995,13.5,112.36666670000001
86,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7660.0,2.1022726940000003,5.93446976,8.0,114.7724868
87,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7660.0,2.127499965,5.981666669,13.5,126.5357143
88,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7660.0,2.142857092,5.885714361000001,6.0,150.0333333
89,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7660.0,2.115865345,5.961298114,12.5,129.2976191
90,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7660.0,2.099206321,5.949206371,5.5,110.44166670000001
91,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,8540.0,2.099999934,5.9375,4.0,178.08333330000002
92,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,8540.0,2.102380931,5.939285732999999,5.0,224.7333333
93,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,8540.0,2.112499952,5.875,2.0,186.04166669999998
94,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,8540.0,2.138888849,5.927777794,7.0,175.02777780000002
95,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,8540.0,2.103749961,5.963750005,7.0,179.3571429
96,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,8540.0,2.074999929,5.774999857,2.0,181.0
97,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,8540.0,2.116666595,5.866666714,2.5,130.4583333
