,hvstGrupp,hvstCo,fcluHg,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
2955,15.5,2.25,19.1,17.175,40.4,20,10.25,31.125,6.975,2.463636364,5.890909091,15.0,52.71765272
2956,15.5,2.25,19.1,17.175,40.4,20,10.25,31.125,6.975,2.492857143,5.9,14.0,52.66955267
2957,15.5,2.25,19.1,17.175,40.4,20,10.25,31.125,6.975,2.476923077,5.892307692,13.0,52.83605284
2958,15.5,2.25,19.1,17.175,40.4,20,10.25,31.125,6.975,2.495238095,5.9,21.0,54.83405483
2959,16.125,1.25,17.55,24.175,40.0,21,12.0,34.35,7.4675,2.510526316,5.894736842,19.0,54.83405483
2960,16.125,1.25,17.55,24.175,40.0,21,12.0,34.35,7.4675,2.468181818,5.9,23.0,54.42625008
2961,16.125,1.25,17.55,24.175,40.0,21,12.0,34.35,7.4675,2.536,5.9079999999999995,25.0,55.23809524
2962,16.125,1.25,17.55,24.175,40.0,21,12.0,34.35,7.4675,2.54,5.896,25.0,56.27705628
2963,16.125,1.25,17.55,24.175,40.0,21,12.0,34.35,7.4675,2.486956522,5.891304347999999,23.0,56.27705628
2964,16.125,1.25,17.55,24.175,40.0,21,12.0,34.35,7.4675,2.496,5.9,25.0,57.72005772
2965,16.125,1.25,17.55,24.175,40.0,21,12.0,34.35,7.4675,2.515789474,5.8894736839999995,19.0,58.47953216
2998,13.5825,1.0,13.975,24.525,36.85,9,11.25,33.725,7.725,2.77625,6.96025,40.0,26.00935102
2999,13.5825,1.0,13.975,24.525,36.85,9,11.25,33.725,7.725,2.7746774189999996,6.981935484,31.0,25.78216819
3000,13.5825,1.0,13.975,24.525,36.85,9,11.25,33.725,7.725,2.786428571,7.0164285710000005,7.0,26.04505795
3001,13.25,2.0,21.8,23.675,39.5,8,12.25,39.55,9.2175,2.751666667,6.90875,12.0,25.97504435
3002,13.25,2.0,21.8,23.675,39.5,8,12.25,39.55,9.2175,2.719814815,6.8929629629999996,27.0,26.24731945
3003,13.25,2.0,21.8,23.675,39.5,8,12.25,39.55,9.2175,2.695476191,6.977380952000001,21.0,26.07306339
3004,13.25,2.0,21.8,23.675,39.5,8,12.25,39.55,9.2175,2.7520588239999997,6.976470588,34.0,25.98081018
3005,13.25,2.0,21.8,23.675,39.5,8,12.25,39.55,9.2175,2.79828125,6.9946875,32.0,26.0056753
3006,13.25,2.0,21.8,23.675,39.5,8,12.25,39.55,9.2175,2.7962962960000004,6.983333332999999,27.0,26.31266548
3007,13.25,2.0,21.8,23.675,39.5,8,12.25,39.55,9.2175,2.7738,6.9718,25.0,26.13579557
3008,8.8,4.0,31.06,0.0,46.46,3,8.6,48.04,9.616,2.233809524,7.2561904760000004,21.0,37.27523885
3009,8.8,4.0,31.06,0.0,46.46,3,8.6,48.04,9.616,2.225625,7.25,16.0,38.59499515
3010,9.25,0.75,21.5,20.125,44.8,4,10.25,42.5,9.995,2.23,7.246666667,6.0,38.71751894
3011,9.25,0.75,21.5,20.125,44.8,4,10.25,42.5,9.995,2.69875,7.11525,20.0,38.75672656
3012,9.25,0.75,21.5,20.125,44.8,4,10.25,42.5,9.995,2.735,7.178,20.0,32.05222454
3013,9.25,0.75,21.5,20.125,44.8,4,10.25,42.5,9.995,2.71975,7.1985,20.0,32.05222454
3014,9.25,0.75,21.5,20.125,44.8,4,10.25,42.5,9.995,2.72,7.205952381,21.0,32.23425989
3015,9.25,0.75,21.5,20.125,44.8,4,10.25,42.5,9.995,2.7221428569999997,7.196190476,21.0,31.730162
3016,9.25,0.75,21.5,20.125,44.8,4,10.25,42.5,9.995,2.78725,7.0675,20.0,31.669950300000004
