,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
1678,0.0,0.0,35,0.0,0.0,0.0,2.8,5.5,2.0,100.0
1679,0.0,0.0,35,0.0,0.0,0.0,2.8,5.5,6.0,99.83333333
1680,0.0,0.0,35,0.0,0.0,0.0,2.8,5.5,6.0,99.83333333
1681,0.0,0.0,35,0.0,0.0,0.0,2.8,5.5,5.0,99.8
1682,0.0,0.0,35,0.0,0.0,0.0,2.8,5.5,4.5,95.375
1683,0.0,35.3,36,5.0,27.4,10.19,2.8,5.5,4.0,99.75
1684,0.0,35.3,36,5.0,27.4,10.19,2.8,5.5,2.0,100.0
1685,0.0,35.3,36,5.0,27.4,10.19,2.8,5.5,3.0,95.75
1686,0.0,35.3,36,5.0,27.4,10.19,2.8,5.5,2.75,96.58333333
1687,0.0,35.3,36,5.0,27.4,10.19,2.8,5.5,5.0,99.8
1688,0.0,35.3,36,5.0,27.4,10.19,2.8,5.5,5.0,99.8
1689,0.0,35.3,36,5.0,27.4,10.19,2.8,5.5,4.0,99.75
1690,23.446666666666697,44.9,37,6.66666666666667,40.6,11.4466666666667,2.8,5.5,2.0,100.0
1691,23.446666666666697,44.9,37,6.66666666666667,40.6,11.4466666666667,2.8,5.5,4.5,96.175
1692,23.446666666666697,44.9,37,6.66666666666667,40.6,11.4466666666667,2.8,5.5,11.0,98.18181818
1693,23.446666666666697,44.9,37,6.66666666666667,40.6,11.4466666666667,2.8,5.5,12.25,99.22596154
1694,23.446666666666697,44.9,37,6.66666666666667,40.6,11.4466666666667,2.8,5.5,8.0,109.875
1695,23.446666666666697,44.9,37,6.66666666666667,40.6,11.4466666666667,2.8,5.5,6.75,107.5297619
1696,23.446666666666697,44.9,37,6.66666666666667,40.6,11.4466666666667,2.8,5.5,10.75,107.6340909
1704,26.175,54.4,39,10.75,50.8,11.42,2.8,5.5,11.0,109.9090909
1705,26.175,54.4,39,10.75,50.8,11.42,2.673529752,5.5,13.0,110.13461540000002
1706,26.175,54.4,39,10.75,50.8,11.42,2.5,5.5,6.0,104.70833329999999
1707,26.175,54.4,39,10.75,50.8,11.42,2.5,5.5,17.25,105.9771242
1708,26.175,54.4,39,10.75,50.8,11.42,2.5,5.5,11.0,107.0909091
1709,26.175,54.4,39,10.75,50.8,11.42,2.5,5.5,19.75,106.54736840000001
1710,26.175,54.4,39,10.75,50.8,11.42,2.5,5.5,5.0,107.4
1711,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,3.0,105.66666670000001
1712,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,14.0,106.07142859999999
1713,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,21.0,107.0952381
1714,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,6.0,105.83333329999999
1715,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,2.0,104.0
1716,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,16.0,107.3125
1717,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,19.5,107.0230263
1718,0.0,53.75,41,12.5,50.5,11.145,2.380870373,5.5,16.0,94.8125
1719,0.0,53.75,41,12.5,50.5,11.145,2.3,5.5,13.0,93.0
1720,0.0,53.75,41,12.5,50.5,11.145,2.3,5.5,4.0,92.25
1721,0.0,53.75,41,12.5,50.5,11.145,2.3,5.5,2.0,95.0
1722,0.0,53.75,41,12.5,50.5,11.145,2.3,5.5,16.75,92.21599265
1723,0.0,53.75,41,12.5,50.5,11.145,2.3,5.5,16.0,97.875
1724,0.0,53.75,41,12.5,50.5,11.145,2.3,5.5,6.25,99.08928571
1788,0.0,0.0,51,0.0,0.0,0.0,2.999866147,5.5,2.0,95.0
1789,0.0,0.0,51,0.0,0.0,0.0,2.9885719280000003,5.5,4.75,92.1875
1790,0.0,0.0,51,0.0,0.0,0.0,2.9902641410000004,5.5,3.75,88.49583333
1791,0.0,0.0,51,0.0,0.0,0.0,2.984284966,5.5,5.0,94.8
1792,0.0,0.0,51,0.0,0.0,0.0,2.984726175,5.5,5.0,94.8
1793,0.0,0.0,51,0.0,0.0,0.0,2.851387593,5.5,4.0,94.75
1794,0.0,0.0,51,0.0,0.0,0.0,2.6836603969999997,5.5,6.0,94.83333333
1795,0.0,0.0,52,0.0,0.0,0.0,2.976310273,5.5,6.25,91.375
1796,0.0,0.0,52,0.0,0.0,0.0,2.995984448,5.5,3.0,94.66666667
1797,0.0,0.0,52,0.0,0.0,0.0,2.985694198,5.5,4.5,94.775
1798,0.0,0.0,52,0.0,0.0,0.0,3.0,5.5,3.5,94.70833333
1799,0.0,0.0,52,0.0,0.0,0.0,3.0,5.5,4.0,94.75
1800,0.0,0.0,52,0.0,0.0,0.0,2.9994408530000003,5.5,3.0,94.66666667
1801,0.0,0.0,52,0.0,0.0,0.0,2.988549796,5.5,5.0,94.8
1802,0.0,0.0,1,0.0,0.0,0.0,2.976546328,5.5,6.0,94.83333333
1803,0.0,0.0,1,0.0,0.0,0.0,2.994361516,5.5,7.75,60.60753968
1804,0.0,0.0,1,0.0,0.0,0.0,2.978060423,5.5,6.0,94.83333333
1805,0.0,0.0,1,0.0,0.0,0.0,2.999823176,5.5,3.0,94.66666667
1806,0.0,0.0,1,0.0,0.0,0.0,2.992510254,5.5,3.5,94.70833333
1807,0.0,0.0,1,0.0,0.0,0.0,2.976996043,5.5,6.5,94.84523809999999
1808,0.0,0.0,1,0.0,0.0,0.0,2.9983355639999996,5.5,1.5,87.375
1809,0.0,0.0,2,0.0,0.0,0.0,3.0,5.5,2.0,95.0
1810,0.0,0.0,2,0.0,0.0,0.0,2.998226213,5.5,2.5,94.83333333
1811,0.0,0.0,2,0.0,0.0,0.0,2.99737986,5.5,3.75,90.04166667
1812,0.0,0.0,2,0.0,0.0,0.0,2.9852177610000004,5.5,4.0,94.75
1813,0.0,0.0,2,0.0,0.0,0.0,2.9675191260000005,5.5,7.5,93.67857143
1814,0.0,0.0,2,0.0,0.0,0.0,2.968646159,5.5,7.0,91.75
1815,0.0,0.0,2,0.0,0.0,0.0,2.975824537,5.5,7.0,94.57291667
1985,0.0,0.0,33,0.0,0.0,0.0,0.49791521899999996,5.974982627,38.49944154,40.52854123
1986,0.0,0.0,33,0.0,0.0,0.0,0.5,6.0,6.054936306,30.76065892
1987,0.0,0.0,33,0.0,0.0,0.0,1.018944844,6.0,5.0,40.0
1988,0.0,0.0,33,0.0,0.0,0.0,1.36824843,6.0,3.0,40.0
1989,0.0,0.0,33,0.0,0.0,0.0,1.5,6.0,6.0,40.0
1990,0.0,0.0,33,0.0,0.0,0.0,1.5,6.0,1.0,40.0
